trainingPersonId,totalDuration
8281072e10a911ec8871b07b25146e9e,42869101
65f68a1f10c511ec8216b07b25146e9e,70318621
51e88da310a911ec8871b07b25146e9e,35218267
828a28e110ab11ec8871b07b25146e9e,292445746
497948b510a911ec8871b07b25146e9e,15173114
c16f5daa10a811ec8871b07b25146e9e,15213121
e278244910a911ec8871b07b25146e9e,97197308
d91a9940596611ecb369fa164011f743,70229706
595fb7f310bd11ec8216b07b25146e9e,12080487
0810bcf910c211ec8216b07b25146e9e,34608293
3105a57d10a811ec8871b07b25146e9e,62092250
6d37271210ab11ec8871b07b25146e9e,13771795
eb18e89710ab11ec8871b07b25146e9e,57164883
8a0c4ab0648211ecb369fa164011f743,30456105
3cfe74cf10a911ec8871b07b25146e9e,104110700
f02ad36915d111eca228fa164011f743,94876055
fb86178210a711ec8871b07b25146e9e,193041307
83dbde0f10c211ec8216b07b25146e9e,18359806
e528fd6a10a911ec8871b07b25146e9e,47885062
8443143a10a911ec8871b07b25146e9e,24392691
b2d34d3410a911ec8871b07b25146e9e,66099575
d1994bcf10a811ec8871b07b25146e9e,17606972
26f8be9810ac11ec8871b07b25146e9e,127955572
a2ecbf7910ab11ec8871b07b25146e9e,75951933
ec4f768610ab11ec8871b07b25146e9e,58064899
2f8abebc6c4611ecb369fa164011f743,45369813
5219b0e510ca11ec8216b07b25146e9e,4706593
d50c1e8f10a811ec8871b07b25146e9e,100893214
355bde8110c211ec8216b07b25146e9e,23988628
cbc9af7810ab11ec8871b07b25146e9e,338784352
3e6463c610a811ec8871b07b25146e9e,423002
fb3ed21d10a711ec8871b07b25146e9e,73433762
b6efacb410c611ec8216b07b25146e9e,130377060
08a7244510a811ec8871b07b25146e9e,24377418
4d8ee3766f9d11ecb369fa164011f743,9929586
046e014e10aa11ec8871b07b25146e9e,100971354
5da4a61310bf11ec8216b07b25146e9e,414272
73c9397910c411ec8216b07b25146e9e,136164179
57582fd310aa11ec8871b07b25146e9e,176817017
069113db2ac111eeb806fa164011f743,97818442
b6568644a07f11edb6a3fa164011f743,2006162
b9ee730910a911ec8871b07b25146e9e,97478083
bab7de4410ca11ec8216b07b25146e9e,10664105
6966e58510c511ec8216b07b25146e9e,60314557
6ce895a410c711ec8216b07b25146e9e,52667784
c80edc7a6df211ecb369fa164011f743,842505
6759f71610cb11ec8216b07b25146e9e,103192384
53dc5ec310a911ec8871b07b25146e9e,55258646
7acbda786e2311ecb369fa164011f743,55527136
ec83e54310ab11ec8871b07b25146e9e,172205060
9dbb085910a911ec8871b07b25146e9e,90467828
ab17470510ab11ec8871b07b25146e9e,2297617
dd3456cc10a711ec8871b07b25146e9e,103759254
e4b0e46710ab11ec8871b07b25146e9e,14177754
48ea6dad10ac11ec8871b07b25146e9e,76164033
4864451410a911ec8871b07b25146e9e,47827942
5c95cd7110a811ec8871b07b25146e9e,42011496
09a9308c10a811ec8871b07b25146e9e,18562972
2d4cdad210a811ec8871b07b25146e9e,5881303
16e0bb6b10aa11ec8871b07b25146e9e,2376833
73c2dbd810c511ec8216b07b25146e9e,38587978
418498d271dd11ecb369fa164011f743,70168095
5205be5010a911ec8871b07b25146e9e,1445672
f54723a310aa11ec8871b07b25146e9e,12629214
c5b7c5d210ab11ec8871b07b25146e9e,37901837
83cb78f910ab11ec8871b07b25146e9e,65273719
f58d77cb10aa11ec8871b07b25146e9e,27597770
c9d6b8d610c811ec8216b07b25146e9e,59216655
842e62db10ab11ec8871b07b25146e9e,18103872
a5866d6c10a811ec8871b07b25146e9e,50190547
2af4462ba83811edb568fa164011f743,6009284
343e5ff910a811ec8871b07b25146e9e,200648990
4f29cb8110a811ec8871b07b25146e9e,242275454
7ee71f9d10a911ec8871b07b25146e9e,6061782
6e91241010a911ec8871b07b25146e9e,94025103
0dea753310aa11ec8871b07b25146e9e,7390944
fc1c9a1f10ab11ec8871b07b25146e9e,7983934
13a99ed710cb11ec8216b07b25146e9e,57566832
7ee13ead10ac11ec8871b07b25146e9e,8651056
125c66aa10ac11ec8871b07b25146e9e,328441155
f0edc3b9634811ed87c1fa164011f743,8749538
7cfa9e4510cb11ec8216b07b25146e9e,63104534
5e9e049110a911ec8871b07b25146e9e,96225261
1de60a3b10ac11ec8871b07b25146e9e,13692978
e098ac9e10aa11ec8871b07b25146e9e,24304712
bd969f70b64211eca4f5fa164011f743,35526546
13aa691d10ac11ec8871b07b25146e9e,55191351
419fa57c10a911ec8871b07b25146e9e,50628864
ef9b9a8a10a911ec8871b07b25146e9e,114067779
7ce92b9810a811ec8871b07b25146e9e,1047079
